ticker,weight,signal_score,sector
FIX,0.08308816539590969,0.9732125270829229,Industrials
FTAI,0.08057034220209425,0.9891668308055939,Industrials
VRT,0.07805251900827881,0.9899546976560961,Technology
UAL,0.07553469581446337,0.974591294071302,Industrials
VST,0.07301687262064792,0.9139255465826276,Utilities
LRCX,0.07049904942683248,0.9519401221193619,Industrials
NCLH,0.06798122623301704,0.8906834744928107,Industrials
AVGO,0.06546340303920159,0.9598187906243845,Technology
CSTM,0.06294557984538615,0.9938940319086075,Basic Materials
ANET,0.0604277566515707,0.9842426629899547,Technology
ATI,0.05790993345775525,0.8503052984045696,Basic Materials
PBI,0.05539211026393979,0.9348040181209376,Technology
SYF,0.05287428707012434,0.6186724443569037,Financial Services
NGVT,0.050356463876308905,0.9188497143982667,Healthcare
JBL,0.047838640682493466,0.9196375812487689,Technology
CECO,0.04532081748867803,0.9572582233602521,Industrials
RCL,0.042802994294862576,0.9501674217057318,Industrials
ADSK,0.040285171101047124,0.610793775851881,Technology
UTI,0.037767347907231685,0.7157770336813079,Consumer Cyclical
HWM,0.03524952471341624,0.8264723261768762,Basic Materials
ENVA,0.032731701519600795,0.9322434508568052,Financial Services
BA,0.031990949782261656,0.879653338585779,Industrials
GOOGL,0.031990949782261656,0.5241284222966319,Technology
GH,0.031990949782261656,0.9956667323222376,Healthcare
EXPE,0.031990949782261656,0.8012605869608036,Industrials
HCI,0.031990949782261656,0.9828638960015758,Financial Services
PRIM,0.031990949782261656,0.9310616505810518,Industrials
MELI,0.031990949782261656,0.8508961985424464,Industrials
ORCL,0.031990949782261656,0.6588536537325193,Technology
TPB,0.031990949782261656,0.9584400236360056,Consumer Defensive
TEVA,0.031990949782261656,0.9153043135710065,Healthcare
TBBK,0.031990949782261656,0.9267283829032893,Financial Services
WK,0.031990949782261656,0.8339570612566476,Technology
