,0
rvol_21d,1495.7230523293838
rank_rvol_21d,1378.7929878735542
tail_risk_5pct,985.259324297605
z_mkt_beta_63d,848.4298057009777
max_ret_21d,808.3197096459913
z_rvol_21d,778.4161315316504
rvol_63d,769.0870446696878
rank_market_beta,551.2225376810503
hurst_63d,541.9205666610172
rank_tail_risk,533.7461860087656
amihud_21d,523.4827070164939
rank_vol_of_vol,521.7087612301111
rvol_10d,474.3696436033529
rank_amihud,473.2842422617482
mkt_beta_63d,463.3615730227459
rank_max_effect,443.11810853083927
vol_of_vol,408.67622246320656
rank_price_52w_high,395.69722664750964
ix_beta_x_vol,372.3413400668147
price_52w_high,345.03603979685164
rank_vol_regime,330.5980982066587
mom_126d,329.80068908301774
ma200_distance,327.8141406379788
alt_analyst_revision_signal,313.00076365470886
idiovol_21d,287.82218651771547
ix_rvol_x_vix_pctile,277.2208108305931
alt_insider_activity_signal,257.58725170655686
rank_long_momentum,236.87939469365105
alt_eps_trend_signal,230.10955545107524
ix_mom_x_hurst,226.21543133171167
alt_roe_signal,212.45921533430615
ix_beta_x_yield_curve,211.3898088804313
vol_regime,191.63814197652616
alt_eodhd_sentiment_chg,191.30156695842743
vpt_20d,189.61103762415323
z_mom_126d,183.1115992747723
sector_momentum_63d,182.63544527121954
z_idiovol_21d,179.40387062364675
alt_book_to_market_signal,174.567469062124
rank_sector_rel_mom,172.57192499915215
alt_analyst_coverage_signal,172.26035466194153
alt_eodhd_sentiment,165.43757579723993
rank_idiovol,163.47264616451565
ix_longmom_x_yield_curve,148.45935691989237
rank_efficiency_ratio,144.39623149898318
sector_rel_mom_63d,144.0190228829308
rank_obv,143.58375986682043
ix_high52w_x_mom,142.5298712987166
ix_mom_x_vol,141.84134805467394
z_mom_63d,140.24915256337687
alt_leverage_signal,130.8401170688517
mom_63d,118.72272038067642
alt_dividend_yield,115.60450482845306
ix_mom_x_vix,113.92668032646179
ix_idiovol_x_hy_spread,113.14606373975066
ma50_distance,110.53179259598255
rank_ma_distance,104.56766416849914
vol_trend_21d,103.97396013736724
macd_hist,99.3507703310565
ix_idiovol_x_illiq,97.53969945013523
rsi_14d,94.60210022661421
alt_asset_growth_signal,89.7159785270691
rank_vpt,87.3937441568182
obv_zscore,86.06691911220551
rank_macd,85.46962818933517
rank_price_acceleration,82.20351970483021
rank_volume_trend,75.33052066961925
mom_21d,74.68660773833592
price_accel_21d,70.46451538196509
rank_residual_momentum,62.74318279124595
residual_mom_21d,62.493677861742924
rank_mean_reversion,54.251841699375824
mom_5d,53.51307862997055
zscore_rev_20d,51.54168123404185
z_amihud_21d,43.07365667819977
mom_10d,37.21979077373232
ix_amihud_x_hy_spread,33.45235496759415
rank_short_momentum,32.96938617154956
vol_spike_20d,14.741192719829616
ret_reversal_2d,11.450782388448715
rank_reversal_2d,11.011610060930252
alt_eodhd_news_volume,8.100804964701334
rank_reversal_1d,7.957885026931763
bollinger_pct_b,0.0
